Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Nordic Semiconductor,NOR-MCU400000,ARM Cortex-M4,48,1024,1,1.0,"SPI, CAN, UART, Ethernet, USB",11.62,0.029,75,1.8,TSSOP,2018,Automotive
Renesas,REN-MCU400001,ARM Cortex-M0,120,32,32,2.0,"I2C, Ethernet, CAN, SPI",10.68,1.355,58,5.0,QFN,2019,Wearable
Espressif,ESP-MCU400002,ARM Cortex-M7,200,2048,32,0.0,"I2C, Ethernet, USB, SPI",10.88,0.491,39,3.3,TSSOP,2018,Consumer
Renesas,REN-MCU400003,RISC-V,120,512,2,2.0,"CAN, UART, PWM, Ethernet, SPI",6.36,0.192,53,2.5,QFN,2017,Medical
Texas Instruments,TEX-MCU400004,ARM Cortex-M3,72,64,8,2.0,"CAN, I2C",3.01,1.063,39,2.5,SOIC,2023,IoT
Renesas,REN-MCU400005,MIPS32,32,16,4,2.0,"SPI, I2C",7.56,1.129,35,5.0,BGA,2012,Medical
Analog Devices,ANA-MCU400006,MIPS32,16,256,16,8.0,"CAN, SPI, Ethernet",1.74,0.607,17,2.5,BGA,2018,Medical
NXP,NXP-MCU400007,ARM Cortex-M7,8,512,512,0.0,"Ethernet, SPI",9.6,1.464,26,3.3,DIP,2017,Industrial
Silicon Labs,SIL-MCU400008,ARM Cortex-M4,168,16,128,8.0,"CAN, UART, SPI, PWM, USB",7.72,0.271,82,2.5,TSSOP,2014,Wearable
Renesas,REN-MCU400009,ARM Cortex-M3,8,128,128,0.0,"I2C, UART, SPI, PWM",7.75,0.211,50,5.0,DIP,2018,Industrial
Renesas,REN-MCU400010,MIPS32,8,64,8,0.0,"PWM, USB, Ethernet",8.48,0.332,8,1.8,BGA,2011,IoT
Espressif,ESP-MCU400011,MIPS32,480,2048,8,4.0,"Ethernet, UART",2.87,0.582,12,2.5,LQFP,2018,Consumer
NXP,NXP-MCU400012,AVR 8-bit,48,16,64,1.0,"CAN, I2C, SPI",1.43,1.205,82,1.8,DIP,2012,Medical
Espressif,ESP-MCU400013,8051,8,1024,16,4.0,"Ethernet, SPI, CAN",8.29,0.326,18,1.8,BGA,2019,Consumer
Nordic Semiconductor,NOR-MCU400014,8051,168,32,16,8.0,"UART, PWM, CAN, SPI",6.38,0.554,85,1.8,BGA,2016,Medical
Infineon,INF-MCU400015,RISC-V,240,256,32,2.0,"USB, UART, I2C",2.66,0.609,31,5.0,SOIC,2010,Wearable
Nordic Semiconductor,NOR-MCU400016,ARM Cortex-M7,16,32,2,0.5,"I2C, SPI, USB, Ethernet",2.26,0.984,8,1.8,LQFP,2005,IoT
Renesas,REN-MCU400017,8051,72,1024,512,0.0,"SPI, CAN, UART",2.82,1.125,89,2.5,SOIC,2020,Consumer
Analog Devices,ANA-MCU400018,MIPS32,200,1024,32,8.0,"I2C, USB, CAN, PWM",5.07,0.817,67,3.3,QFN,2017,Automotive
NXP,NXP-MCU400019,MIPS32,72,128,4,0.0,"I2C, Ethernet, SPI",9.75,1.035,66,1.8,DIP,2023,Consumer
NXP,NXP-MCU400020,ARM Cortex-M0,200,32,128,2.0,"PWM, Ethernet, CAN, I2C",11.68,0.703,38,2.5,SOIC,2021,Industrial
Analog Devices,ANA-MCU400021,ARM Cortex-M0,240,2048,1,0.5,"PWM, Ethernet",7.68,0.593,71,3.3,DIP,2017,Automotive
Espressif,ESP-MCU400022,ARM Cortex-M0,72,512,64,0.5,"CAN, UART, USB",11.12,1.074,59,2.5,TSSOP,2019,IoT
Microchip,MIC-MCU400023,ARM Cortex-M3,32,512,128,2.0,"I2C, Ethernet",9.33,1.027,10,5.0,DIP,2007,Medical
Renesas,REN-MCU400024,ARM Cortex-M4,120,512,128,0.0,"CAN, I2C, PWM, Ethernet",8.52,0.021,15,2.5,LQFP,2005,Wearable
Microchip,MIC-MCU400025,RISC-V,8,256,512,0.0,"USB, I2C, PWM, Ethernet, CAN",2.35,0.817,10,2.5,SOIC,2018,IoT
Analog Devices,ANA-MCU400026,ARM Cortex-M0,480,2048,256,1.0,"USB, PWM, CAN, I2C, UART",2.56,1.05,14,1.8,TSSOP,2008,Medical
Texas Instruments,TEX-MCU400027,ARM Cortex-M3,200,2048,512,8.0,"Ethernet, UART",4.32,0.326,48,1.8,DIP,2022,Industrial
Infineon,INF-MCU400028,ARM Cortex-M0,120,1024,4,0.0,"UART, PWM, I2C, CAN, SPI",7.77,0.433,85,1.8,DIP,2013,Medical
Microchip,MIC-MCU400029,AVR 8-bit,32,512,128,2.0,"UART, USB",5.77,0.517,69,3.3,LQFP,2022,Automotive
Renesas,REN-MCU400030,ARM Cortex-M4,200,256,2,2.0,"Ethernet, PWM",1.22,1.386,22,3.3,TSSOP,2010,Industrial
