Producator,Model,Arhitectura,Frecventa_MHz,Flash_KB,RAM_KB,EEPROM_KB,Magistrale,Pret_USD,Consum_W,IO_Pins,Tensiune_V,Pachet,An_Lansare,Aplicatie
Analog Devices,ANA-MCU185000,ARM Cortex-M3,48,64,4,0.5,"PWM, Ethernet",2.11,1.296,57,2.5,QFN,2022,Wearable
Microchip,MIC-MCU185001,ARM Cortex-M0,480,32,16,8.0,"CAN, PWM, UART, Ethernet",4.55,0.945,34,3.3,TSSOP,2021,Wearable
NXP,NXP-MCU185002,ARM Cortex-M4,48,64,1,0.5,"PWM, Ethernet, I2C",9.61,0.791,87,5.0,SOIC,2021,Consumer
Analog Devices,ANA-MCU185003,ARM Cortex-M4,48,2048,2,8.0,"CAN, UART, Ethernet, SPI",7.87,1.368,25,1.8,BGA,2023,Consumer
Analog Devices,ANA-MCU185004,ARM Cortex-M7,72,64,64,8.0,"PWM, UART, SPI, CAN",9.19,1.403,51,3.3,BGA,2016,IoT
Nordic Semiconductor,NOR-MCU185005,AVR 8-bit,16,16,32,0.5,"CAN, SPI, I2C",8.13,0.336,93,2.5,SOIC,2009,Industrial
Texas Instruments,TEX-MCU185006,ARM Cortex-M4,8,512,8,0.5,"Ethernet, USB, PWM, CAN",3.86,0.983,51,2.5,DIP,2018,Consumer
STMicroelectronics,STM-MCU185007,RISC-V,72,16,512,4.0,"PWM, UART, Ethernet",8.31,0.599,40,3.3,TSSOP,2016,Wearable
Nordic Semiconductor,NOR-MCU185008,ARM Cortex-M0,200,128,64,2.0,"I2C, PWM, UART, SPI",7.58,0.815,31,1.8,QFN,2016,Medical
Espressif,ESP-MCU185009,8051,240,256,512,4.0,"I2C, SPI, PWM, CAN, Ethernet",2.15,0.285,81,5.0,DIP,2022,IoT
Nordic Semiconductor,NOR-MCU185010,ARM Cortex-M7,48,64,32,4.0,"CAN, PWM, I2C",10.23,0.979,38,5.0,LQFP,2018,Automotive
NXP,NXP-MCU185011,ARM Cortex-M7,240,16,1,0.5,"CAN, UART, USB, PWM",3.91,0.705,91,1.8,BGA,2024,Wearable
Espressif,ESP-MCU185012,AVR 8-bit,72,1024,512,2.0,"UART, PWM, CAN, USB, I2C",11.44,1.377,82,2.5,TSSOP,2010,Automotive
Renesas,REN-MCU185013,ARM Cortex-M7,32,1024,32,8.0,"Ethernet, I2C",3.19,0.175,95,5.0,BGA,2023,IoT
STMicroelectronics,STM-MCU185014,AVR 8-bit,32,128,64,8.0,"I2C, USB",2.74,0.813,56,3.3,BGA,2013,Medical
NXP,NXP-MCU185015,ARM Cortex-M7,480,128,256,4.0,"USB, UART, Ethernet, SPI, PWM",8.69,0.601,67,2.5,LQFP,2021,IoT
Analog Devices,ANA-MCU185016,ARM Cortex-M7,16,1024,1,0.5,"I2C, PWM, CAN, UART, SPI",5.78,0.814,7,1.8,LQFP,2009,IoT
Renesas,REN-MCU185017,8051,16,128,128,2.0,"Ethernet, UART, I2C, USB, CAN",7.7,0.625,8,3.3,SOIC,2024,Medical
Renesas,REN-MCU185018,RISC-V,16,16,2,8.0,"CAN, Ethernet",8.32,0.843,10,1.8,QFN,2022,Consumer
Infineon,INF-MCU185019,ARM Cortex-M4,200,512,2,1.0,"SPI, Ethernet, USB, UART",5.55,1.427,89,1.8,LQFP,2005,Wearable
Renesas,REN-MCU185020,ARM Cortex-M7,72,32,4,0.5,"USB, CAN, I2C, UART",9.65,1.019,98,3.3,BGA,2022,Medical
